Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos activos
Los Lagos,10.0,Puyehue,10304.0,11787.0,2020-04-13,1.0
Los Lagos,10.0,Queilen,10207.0,5543.0,2020-04-13,0.0
Los Lagos,10.0,Quellon,10208.0,29309.0,2020-04-13,0.0
Los Lagos,10.0,Quemchi,10209.0,8783.0,2020-04-13,0.0
Los Lagos,10.0,Quinchao,10210.0,8298.0,2020-04-13,0.0
Los Lagos,10.0,Rio Negro,10305.0,14275.0,2020-04-13,2.0
Los Lagos,10.0,San Juan de la Costa,10306.0,7639.0,2020-04-13,13.0
Los Lagos,10.0,San Pablo,10307.0,10553.0,2020-04-13,4.0
Los Lagos,10.0,Desconocido Los Lagos,,,2020-04-13,
Los Lagos,10.0,Total,,891440.0,2020-04-13,127.0
Aysen,11.0,Aysen,11201.0,25002.0,2020-04-13,1.0
Aysen,11.0,Chile Chico,11401.0,5121.0,2020-04-13,1.0
Aysen,11.0,Cisnes,11202.0,5828.0,2020-04-13,0.0
Aysen,11.0,Cochrane,11301.0,3685.0,2020-04-13,0.0
Aysen,11.0,Coyhaique,11101.0,61210.0,2020-04-13,0.0
Aysen,11.0,Guaitecas,11203.0,1599.0,2020-04-13,0.0
Aysen,11.0,Lago Verde,11102.0,920.0,2020-04-13,0.0
Aysen,11.0,OHiggins,11302.0,661.0,2020-04-13,0.0
Aysen,11.0,Rio Ibanez,11402.0,2699.0,2020-04-13,0.0
Aysen,11.0,Tortel,11303.0,572.0,2020-04-13,0.0
