Region,Codigo region,Comuna,Codigo comuna,Poblacion,Semana Epidemiologica,Casos confirmados
Ñuble,16,San Carlos,16301,56252.0,SE7,0.0
Ñuble,16,San Fabian,16304,4654.0,SE7,0.0
Ñuble,16,San Ignacio,16108,16624.0,SE7,0.0
Ñuble,16,San Nicolas,16305,12172.0,SE7,0.0
Ñuble,16,Treguaco,16207,5696.0,SE7,0.0
Ñuble,16,Yungay,16109,18596.0,SE7,0.0
Ñuble,16,Desconocido Nuble,0,0.0,SE7,0.0
Antofagasta,2,Antofagasta,2101,425725.0,SE8,0.0
Antofagasta,2,Calama,2201,190336.0,SE8,0.0
Antofagasta,2,Maria Elena,2302,6814.0,SE8,0.0
Antofagasta,2,Mejillones,2102,14776.0,SE8,0.0
Antofagasta,2,Ollague,2202,287.0,SE8,0.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,SE8,0.0
Antofagasta,2,Sierra Gorda,2103,1746.0,SE8,0.0
Antofagasta,2,Taltal,2104,13657.0,SE8,0.0
Antofagasta,2,Tocopilla,2301,28079.0,SE8,0.0
Antofagasta,2,Desconocido Antofagasta,0,0.0,SE8,0.0
Araucanía,9,Angol,9201,56058.0,SE8,0.0
Araucanía,9,Carahue,9102,25486.0,SE8,0.0
Araucanía,9,Cholchol,9121,12341.0,SE8,0.0
Araucanía,9,Collipulli,9202,26148.0,SE8,0.0
Araucanía,9,Cunco,9103,18055.0,SE8,0.0
Araucanía,9,Curacautin,9203,18178.0,SE8,0.0
Araucanía,9,Curarrehue,9104,7802.0,SE8,0.0
Araucanía,9,Ercilla,9204,8458.0,SE8,0.0
Araucanía,9,Freire,9105,25446.0,SE8,0.0
Araucanía,9,Galvarino,9106,12633.0,SE8,0.0
Araucanía,9,Gorbea,9107,15148.0,SE8,0.0
Araucanía,9,Lautaro,9108,40746.0,SE8,0.0
Araucanía,9,Loncoche,9109,24739.0,SE8,0.0
Araucanía,9,Lonquimay,9205,11049.0,SE8,0.0
Araucanía,9,Los Sauces,9206,7517.0,SE8,0.0
Araucanía,9,Lumaco,9207,10050.0,SE8,0.0
Araucanía,9,Melipeuco,9110,6265.0,SE8,0.0
Araucanía,9,Nueva Imperial,9111,33777.0,SE8,0.0
